symbol,name,opt-in,opt-out
SZ000866,扬子石化,2005-04-08,2006-04-24
SZ000869,张裕Ａ,2006-04-24,2007-07-02
SZ000869,张裕Ａ,2011-07-01,2015-06-15
SZ000875,吉电股份,2005-04-08,2007-07-02
SZ000876,新希望,2007-07-02,
SZ000877,天山股份,2022-06-10,2024-06-14
SZ000878,云南铜业,2005-04-08,2015-12-14
SZ000883,湖北能源,2013-01-01,2013-12-16
SZ000883,湖北能源,2014-06-16,2016-12-12
SZ000886,海南高速,2005-04-08,2006-06-22
SZ000895,双汇发展,2005-04-08,2007-07-02
SZ000895,双汇发展,2008-01-01,
SZ000897,津滨发展,2007-01-01,2011-01-01
SZ000898,鞍钢股份,2005-04-08,2013-07-01
SZ000898,鞍钢股份,2014-12-15,2016-12-12
SZ000898,鞍钢股份,2017-12-11,2020-06-15
SZ000900,现代投资,2005-04-08,2011-07-01
SZ000912,泸天化,2005-04-08,2010-01-01
SZ000916,华北高速,2005-04-08,2006-06-22
SZ000917,电广传媒,2005-04-08,2010-07-01
SZ000917,电广传媒,2014-06-16,2017-12-11
SZ000920,南方汇通,2005-04-08,2007-01-01
SZ000921,科龙电器,2005-04-08,2005-07-01
SZ000927,一汽夏利,2005-04-08,2012-01-01
SZ000930,丰原生化,2005-04-08,2008-01-01
SZ000932,华菱钢铁,2005-04-08,2011-01-01
SZ000933,神火股份,2005-04-08,2014-06-16
SZ000937,冀中能源,2005-04-08,2016-06-13
SZ000938,紫光股份,2016-12-12,
SZ000939,凯迪电力,2005-04-08,2007-02-16
SZ000949,G新纤,2005-04-08,2006-06-22
SZ000951,中国重汽,2008-01-01,2012-01-01
SZ000956,和中原油气,2005-04-08,2006-04-24
SZ000959,首钢股份,2005-04-08,2007-01-01
SZ000959,首钢股份,2007-07-02,2011-07-01
SZ000959,首钢股份,2017-06-12,2019-06-17
SZ000960,锡业股份,2005-04-08,2015-12-14
SZ000961,中南建设,2010-07-01,2014-12-15
SZ000961,中南建设,2017-06-12,2021-06-11
SZ000962,东方钽业,2005-04-08,2008-01-01
SZ000963,华东医药,2013-07-01,
SZ000968,煤气化,2005-04-08,2007-01-01
