symbol,name,opt-in,opt-out
LULU,lululemon Athletica,2018-12-24,2025-12-22
LVLT,Level 3 Communications,2006-01-01,2008-12-22
MAR,Marriott International Class A,2013-11-18,
MAT,Mattel,2009-12-21,2017-10-23
MCHP,Microchip Technology,2006-01-01,2013-12-23
MCHP,Microchip Technology Incorporated,2016-07-18,
MDB,MongoDB,2023-12-18,2025-05-19
MDLZ,"Mondelez International, Inc. Class A",2006-01-01,
MEDI,MedImmune,2006-01-01,2007-06-01
MELI,"MercadoLibre, Inc.",2017-06-19,
META,"Meta Platforms, Inc. Class A",2012-12-12,
MICC,Millicom International Cellular,2006-01-01,2011-05-27
MNST,Monster Beverage Corporation,2007-12-24,2009-12-21
MNST,Monster Beverage Corporation,2011-12-19,
MNST,Monster Worldwide,2006-01-01,2008-11-10
MPWR,"Monolithic Power Systems, Inc.",2025-12-22,
MRNA,Moderna,2020-07-20,2024-12-23
MRVL,Marvell Technology Group,2006-01-01,2012-12-24
MRVL,"Marvell Technology, Inc.",2020-12-21,
MSFT,Microsoft Corporation,2006-01-01,
MSTR,Strategy Inc Class A,2024-12-23,
MTCH,Match Group,2020-12-21,2022-12-19
MU,"Micron Technology, Inc.",2010-12-20,
MXIM,Maxim Integrated Products,2008-12-22,2014-12-22
MXIM,Maxim Integrated Products,2015-12-21,2021-08-26
MYL,Mylan,2009-12-21,2019-12-23
NCLH,Norwegian Cruise Line,2015-12-21,2017-12-18
NDOI,Endo International,2006-01-01,2016-07-18
NFLX,Netflix,2010-12-20,2012-12-24
NFLX,"Netflix, Inc.",2013-06-06,
NIHD,NII Holdings,2006-01-01,2011-12-19
NLOK,NortonLifeLock,2006-01-01,2019-12-23
NLTI,NTL Incorporated,2006-01-01,2007-08-27
NTAP,NetApp,2006-01-01,2016-12-19
NTAP,NetApp,2018-12-24,2020-08-24
NTES,NetEase,2016-03-16,2022-12-19
NUAN,Nuance Communications,2011-12-19,2013-12-23
NVDA,NVIDIA Corporation,2006-01-01,
NWSA,News Corporation Class A,2009-01-20,
NXPI,NXP Semiconductors,2013-12-23,2017-02-07
NXPI,NXP Semiconductors N.V,2018-11-05,
ODFL,"Old Dominion Freight Line, Inc.",2022-01-24,
OKTA,Okta,2020-12-21,2022-11-21
ON,Onsemi,2023-06-20,2025-12-22
ORCL,Oracle,2006-01-01,2013-07-15
ORLY,"O'Reilly Automotive, Inc.",2008-12-22,
PANW,"Palo Alto Networks, Inc.",2021-12-20,
PAYX,"Paychex, Inc.",2006-01-01,
PCAR,PACCAR Inc.,2006-01-01,
PDCO,Patterson Companies,2006-01-01,2010-12-20
PDD,PDD Holdings Inc. American Depositary Shares,2020-08-24,
PEP,"PepsiCo, Inc.",2018-07-23,
PETM,PetSmart,2006-01-01,2008-12-22
PLTR,Palantir Technologies Inc. Class A,2024-12-23,
PPDI,Pharmaceutical Product Development,2008-12-22,2009-12-21
PRGO,Perrigo,2011-12-06,2013-06-06
PTEN,Patterson-UTI Energy,2006-01-01,2007-12-24
PTON,Peloton,2020-12-21,2022-01-24
PYPL,"PayPal Holdings, Inc.",2015-11-11,
QCOM,QUALCOMM Incorporated,2006-01-01,
QGEN,Qiagen,2009-12-21,2011-12-19
QRTEA,Qurate Retail,2006-01-01,2018-12-24
REGN,"Regeneron Pharmaceuticals, Inc.",2012-12-24,
RIMM,Research in Motion,2006-01-01,2012-12-24
RIVN,Rivian Automotive,2022-12-19,2023-06-20
ROP,"Roper Technologies, Inc.",2023-12-18,
ROST,Ross Stores,2006-01-01,2007-12-24
ROST,"Ross Stores, Inc.",2008-12-22,
RYAAY,Ryanair,2007-02-14,2009-12-21
SBAC,SBA Communications,2012-12-24,2017-03-20
SBUX,Starbucks Corporation,2006-01-01,
SEPR,Sepracor,2006-01-01,2007-12-24
SGEN,Seattle Genetics,2019-12-23,2023-12-14
SHLD,Sears Holdings,2006-01-01,2013-12-23
SHOP,Shopify Inc. Class A Subordinate Voting Shares,2025-05-19,
SHPG,Shire PLC,2016-10-19,2018-12-24
SIAL,Sigma-Aldrich,2006-01-01,2015-07-31
SIRI,Sirius XM Radio,2006-01-01,2008-12-22
SIRI,Sirius XM Radio,2011-07-15,2024-06-24
SMCI,Supermicro,2024-07-22,2024-12-23
SNDK,SanDisk,2006-01-01,2008-12-22
SNDK,SanDisk,2009-12-21,2016-03-16
SNDK,Sandisk Corporation,2026-04-20,
SNPS,"Synopsys, Inc.",2017-12-18,
SOLS,Solstice Advanced Materials,2025-10-30,2025-11-06
