symbol,name,opt-in
SH688297,中无人机,2023-12-08
SH688301,奕瑞科技,2022-12-09
SH688318,财富趋势,2025-06-13
SH688322,奥比中光,2025-12-12
SH688336,三生国健,2025-12-12
SH688347,华虹公司,2025-12-12
SH688349,三一重能,2023-12-08
SH688361,中科飞测,2024-12-13
SH688363,华熙生物,2024-12-13
SH688375,国博电子,2023-12-08
SH688385,复旦微电,2022-12-09
SH688387,信科移动,2023-12-08
SH688425,铁建重工,2023-12-08
SH688469,芯联集成,2024-12-13
SH688475,萤石网络,2024-06-14
SH688520,神州细胞,2023-06-09
SH688525,佰维存储,2024-06-14
SH688538,和辉光电,2022-12-09
SH688561,奇安信,2024-06-14
SH688563,航材股份,2024-12-13
SH688568,中科星图,2025-06-13
SH688578,艾力斯,2024-12-13
SH688582,芯动联科,2025-06-13
SH688599,天合光能,2025-12-12
SH688608,恒玄科技,2025-06-13
SH688615,合合信息,2025-12-12
SH688617,惠泰医疗,2024-06-14
SH688629,华丰科技,2025-12-12
SH688676,金盘科技,2025-06-13
SH688692,达梦数据,2025-12-12
SH688702,盛科通信,2025-06-13
SH688709,成都华微,2025-12-12
SH688728,格科微,2025-06-13
SH688772,珠海冠宇,2022-12-09
SH688777,中控技术,2024-06-14
SH688778,厦钨新能,2023-06-09
SH688819,天能股份,2022-06-10
SH689009,九号公司,2022-06-10
SZ000009,中国宝安,2007-01-15
SZ000021,深科技,2007-01-15
SZ000027,深圳能源,2007-01-15
SZ000032,深桑达A,2024-06-14
SZ000034,神州数码,2024-12-13
SZ000039,中集集团,2007-01-15
SZ000050,深天马A,2007-01-15
SZ000060,中金岭南,2007-01-15
SZ000062,深圳华强,2025-06-13
SZ000088,盐田港,2025-12-12
SZ000155,川能动力,2022-12-09
SZ000400,许继电气,2007-01-15
SZ000415,渤海租赁,2025-06-13
SZ000423,东阿阿胶,2023-06-09
SZ000426,兴业银锡,2024-12-13
SZ000429,粤高速A,2025-06-13
SZ000513,丽珠集团,2007-01-15
SZ000519,中兵红箭,2007-01-15
SZ000528,柳工,2025-06-13
SZ000537,绿发电力,2007-01-15
SZ000539,粤电力A,2023-12-08
SZ000559,万向钱潮,2007-01-15
SZ000563,陕国投A,2007-01-15
SZ000582,北部湾港,2025-06-13
SZ000591,太阳能,2022-12-09
SZ000598,兴蓉环境,2007-01-15
SZ000623,吉林敖东,2007-01-15
SZ000629,钒钛股份,2007-01-15
SZ000657,中钨高新,2025-12-12
SZ000683,博源化工,2022-12-09
SZ000703,恒逸石化,2022-12-09
SZ000709,河钢股份,2007-01-15
SZ000723,美锦能源,2023-12-08
SZ000728,国元证券,2021-12-10
SZ000729,燕京啤酒,2007-01-15
SZ000733,振华科技,2024-12-13
SZ000738,航发控制,2007-01-15
SZ000739,普洛药业,2007-01-15
SZ000750,国海证券,2007-01-15
SZ000783,长江证券,2022-06-10
SZ000785,居然智家,2022-06-10
SZ000825,太钢不锈,2007-01-15
SZ000830,鲁西化工,2007-01-15
SZ000831,中国稀土,2022-06-10
SZ000878,云南铜业,2007-01-15
SZ000883,湖北能源,2007-01-15
SZ000887,中鼎股份,2007-01-15
SZ000893,亚钾国际,2023-06-09
SZ000898,鞍钢股份,2007-01-15
SZ000921,海信家电,2024-06-14
SZ000932,华菱钢铁,2007-01-15
SZ000933,神火股份,2025-06-13
SZ000937,冀中能源,2007-01-15
SZ000951,中国重汽,2025-06-13
SZ000958,电投产融,2023-06-09
SZ000959,首钢股份,2007-01-15
SZ000960,锡业股份,2007-01-15
SZ000967,盈峰环境,2007-01-15
SZ000987,越秀资本,2021-12-10
SZ000997,新大陆,2007-01-15
SZ001213,中铁特货,2025-06-13
SZ001221,悍高集团,2025-12-12
SZ001286,陕西能源,2023-12-08
SZ001389,广合科技,2025-06-13
SZ001696,宗申动力,2025-06-13
SZ002007,华兰生物,2025-06-13
SZ002008,大族激光,2023-06-09
SZ002025,航天电器,2022-12-09
SZ002032,苏泊尔,2025-12-12
SZ002044,美年健康,2023-12-08
SZ002056,横店东磁,2007-01-15
SZ002064,华峰化学,2023-12-08
SZ002065,东华软件,2021-06-11
SZ002078,太阳纸业,2010-01-04
SZ002080,中材科技,2022-12-09
SZ002085,万丰奥威,2024-12-13
SZ002120,韵达股份,2023-12-08
SZ002126,银轮股份,2025-12-12
SZ002128,电投能源,2025-12-12
SZ002130,沃尔核材,2025-06-13
SZ002131,利欧股份,2025-12-12
SZ002138,顺络电子,2007-01-15
SZ002152,广电运通,2007-01-15
SZ002153,石基信息,2021-12-10
SZ002155,湖南黄金,2007-01-15
SZ002156,通富微电,2007-01-15
SZ002157,正邦科技,2025-12-12
SZ002185,华天科技,2007-01-15
SZ002195,岩山科技,2007-01-15
SZ002202,金风科技,2024-06-14
SZ002203,海亮股份,2007-01-15
SZ002223,鱼跃医疗,2010-01-04
SZ002244,滨江集团,2009-07-01
SZ002261,拓维信息,2024-06-14
SZ002262,恩华药业,2023-12-08
SZ002265,建设工业,2025-12-12
SZ002266,浙富控股,2009-06-15
SZ002271,东方雨虹,2025-12-12
SZ002273,水晶光电,2007-01-15
SZ002281,光迅科技,2007-01-15
SZ002294,信立泰,2007-01-15
SZ002299,圣农发展,2007-01-15
SZ002312,川发龙蟒,2025-06-13
SZ002318,久立特材,2024-12-13
SZ002335,科华数据,2025-12-12
SZ002340,格林美,2022-12-09
SZ002353,杰瑞股份,2007-01-15
SZ002372,伟星新材,2007-01-15
SZ002385,大北农,2007-01-15
SZ002402,和而泰,2025-12-12
SZ002409,雅克科技,2021-12-10
SZ002410,广联达,2024-12-13
SZ002414,高德红外,2023-12-08
SZ002423,中粮资本,2007-01-15
SZ002429,兆驰股份,2007-01-15
SZ002430,杭氧股份,2021-12-10
SZ002432,九安医疗,2023-06-09
SZ002436,兴森科技,2024-06-14
SZ002439,启明星辰,2021-06-11
SZ002444,巨星科技,2007-01-15
SZ002461,珠江啤酒,2025-06-13
SZ002465,海格通信,2007-01-15
SZ002472,双环传动,2023-12-08
SZ002500,山西证券,2007-01-15
SZ002508,老板电器,2021-12-10
SZ002517,恺英网络,2023-12-08
SZ002532,天山铝业,2021-06-11
SZ002558,巨人网络,2023-12-08
SZ002568,百润股份,2022-12-09
SZ002583,海能达,2025-12-12
SZ002595,豪迈科技,2007-01-15
SZ002603,以岭药业,2024-12-13
SZ002607,中公教育,2023-12-08
SZ002608,江苏国信,2023-06-09
SZ002624,完美世界,2022-06-10
SZ002670,国盛证券,2016-12-19
SZ002673,西部证券,2021-12-10
SZ002683,广东宏大,2007-01-15
SZ002738,中矿资源,2022-12-09
SZ002739,儒意电影,2021-12-10
SZ002756,永兴材料,2023-12-08
SZ002773,康弘药业,2025-06-13
SZ002797,第一创业,2007-01-15
SZ002821,凯莱英,2024-12-13
SZ002831,裕同科技,2007-01-15
SZ002837,英维克,2025-06-13
SZ002841,视源股份,2024-12-13
SZ002850,科达利,2022-12-09
SZ002851,麦格米特,2025-06-13
SZ002926,华西证券,2007-01-15
